UTC time,state,latitude,N/S Indication,longitude,E/W indication,Ground speed,position,date,f2,f3
170416.500,A,54.6590755,N,020.6531338,E,0.000,26.58,190425,1.132,1.136,
170416.600,A,54.6590757,N,020.6531340,E,0.000,26.58,190425,1.132,1.136,
170416.700,A,54.6590758,N,020.6531343,E,0.000,26.58,190425,1.135,1.138,
170416.800,A,54.6590760,N,020.6531345,E,0.000,26.58,190425,1.135,1.139,
170416.900,A,54.6590762,N,020.6531348,E,0.000,26.58,190425,1.133,1.137,
170417.000,A,54.6590763,N,020.6531350,E,0.000,26.58,190425,1.132,1.135,
170417.100,A,54.6590765,N,020.6531352,E,0.000,26.58,190425,1.131,1.135,
170417.200,A,54.6590765,N,020.6531353,E,0.000,26.58,190425,1.132,1.136,
170417.300,A,54.6590768,N,020.6531357,E,0.000,26.58,190425,1.133,1.137,
170417.400,A,54.6590770,N,020.6531358,E,0.000,26.58,190425,1.133,1.136,
170417.500,A,54.6590772,N,020.6531360,E,0.000,26.58,190425,1.134,1.137,
170417.600,A,54.6590772,N,020.6531362,E,0.000,26.58,190425,1.137,1.141,
170417.700,A,54.6590773,N,020.6531365,E,0.000,26.58,190425,1.136,1.139,
170417.800,A,54.6590775,N,020.6531367,E,0.000,26.58,190425,1.136,1.140,
170417.900,A,54.6590777,N,020.6531370,E,0.000,26.58,190425,1.135,1.138,
170418.000,A,54.6590780,N,020.6531373,E,0.000,26.58,190425,1.133,1.137,
170418.100,A,54.6590782,N,020.6531375,E,0.000,26.58,190425,1.132,1.136,
170418.200,A,54.6590782,N,020.6531378,E,0.000,26.58,190425,1.132,1.136,
170418.300,A,54.6590783,N,020.6531380,E,0.000,26.58,190425,1.133,1.137,
170418.400,A,54.6590785,N,020.6531383,E,0.000,26.58,190425,1.135,1.139,
170418.500,A,54.6590787,N,020.6531388,E,0.000,26.58,190425,1.135,1.138,
170418.600,A,54.6590788,N,020.6531393,E,0.000,26.58,190425,1.134,1.138,
170418.700,A,54.6590792,N,020.6531398,E,0.000,26.58,190425,1.134,1.138,
170418.800,A,54.6590795,N,020.6531405,E,0.000,26.58,190425,1.133,1.137,
170418.900,A,54.6590798,N,020.6531412,E,0.000,26.58,190425,1.133,1.136,
170419.000,A,54.6590800,N,020.6531417,E,0.000,26.58,190425,1.131,1.135,
170419.100,A,54.6590802,N,020.6531420,E,0.000,26.58,190425,1.131,1.135,
170419.200,A,54.6590803,N,020.6531423,E,0.000,26.58,190425,1.135,1.139,
170419.300,A,54.6590802,N,020.6531425,E,0.000,26.58,190425,1.136,1.139,
170419.400,A,54.6590803,N,020.6531430,E,0.000,26.58,190425,1.133,1.136,
170419.500,A,54.6590803,N,020.6531433,E,0.000,26.58,190425,1.131,1.135,
170419.600,A,54.6590803,N,020.6531437,E,0.000,26.58,190425,1.131,1.135,
170419.700,A,54.6590805,N,020.6531442,E,0.000,26.58,190425,1.133,1.137,
170419.800,A,54.6590805,N,020.6531445,E,0.000,26.58,190425,1.133,1.137,
170419.900,A,54.6590805,N,020.6531448,E,0.000,26.58,190425,1.133,1.137,
170420.000,A,54.6590805,N,020.6531453,E,0.000,26.58,190425,1.133,1.138,
170420.100,A,54.6590805,N,020.6531457,E,0.000,26.58,190425,1.132,1.136,
170420.200,A,54.6590802,N,020.6531455,E,0.000,26.58,190425,1.131,1.135,
170420.300,A,54.6590798,N,020.6531452,E,0.000,26.58,190425,1.133,1.137,
170420.400,A,54.6590797,N,020.6531452,E,0.000,26.58,190425,1.136,1.140,
170420.500,A,54.6590793,N,020.6531448,E,0.000,26.58,190425,1.135,1.138,
170420.600,A,54.6590790,N,020.6531447,E,0.000,26.58,190425,1.134,1.137,
170420.700,A,54.6590787,N,020.6531442,E,0.000,26.58,190425,1.133,1.136,
170420.800,A,54.6590782,N,020.6531435,E,0.000,26.58,190425,1.133,1.137,
170420.900,A,54.6590780,N,020.6531433,E,0.000,26.58,190425,1.135,1.138,
170421.000,A,54.6590778,N,020.6531433,E,0.000,26.58,190425,1.137,1.141,
170421.100,A,54.6590777,N,020.6531432,E,0.000,26.58,190425,1.137,1.141,
170421.200,A,54.6590773,N,020.6531427,E,0.000,26.58,190425,1.135,1.139,
170421.300,A,54.6590772,N,020.6531427,E,0.000,26.58,190425,1.134,1.138,
170421.400,A,54.6590773,N,020.6531428,E,0.000,26.58,190425,1.134,1.138,
170421.500,A,54.6590773,N,020.6531430,E,0.000,26.58,190425,1.135,1.139,
170421.600,A,54.6590773,N,020.6531432,E,0.000,26.58,190425,1.133,1.138,
170421.700,A,54.6590773,N,020.6531435,E,0.000,26.58,190425,1.133,1.137,
170421.800,A,54.6590773,N,020.6531438,E,0.000,26.58,190425,1.133,1.137,
170421.900,A,54.6590775,N,020.6531443,E,0.000,26.58,190425,1.132,1.137,
170422.000,A,54.6590777,N,020.6531448,E,0.000,26.58,190425,1.132,1.137,
170422.100,A,54.6590778,N,020.6531455,E,0.000,26.58,190425,1.132,1.136,
